Time,Timestamp,28ffe2a76415148,28ffcabf64151aa,28ffb5b664152d9,28ffc3bf6415159
"4/30/2016, 10:28:42 PM",1462069722318,25.5000,26.6875,25.5625,25.8125
"4/30/2016, 10:28:43 PM",1462069723406,25.5000,26.6875,25.5000,25.8125
"4/30/2016, 10:28:43 PM",1462069723406,25.5000,26.6875,25.5000,25.8125
"4/30/2016, 10:28:44 PM",1462069724494,25.5000,26.6875,25.5000,25.7500
"4/30/2016, 10:28:45 PM",1462069725581,25.5000,26.6875,25.5000,25.7500
"4/30/2016, 10:28:46 PM",1462069726671,25.5000,26.6250,25.5000,25.7500
"4/30/2016, 10:28:47 PM",1462069727756,25.4375,26.6250,25.5000,25.7500
"4/30/2016, 10:28:48 PM",1462069728846,25.5000,26.6250,25.5000,25.7500
"4/30/2016, 10:28:49 PM",1462069729933,25.4375,26.6250,25.5000,25.7500
"4/30/2016, 10:28:51 PM",1462069731024,25.4375,26.5625,25.5000,25.6875
"4/30/2016, 10:28:52 PM",1462069732110,25.4375,26.5625,25.4375,25.6875
"4/30/2016, 10:28:53 PM",1462069733197,25.4375,26.5625,25.4375,25.6875
"4/30/2016, 10:28:54 PM",1462069734285,25.4375,26.5625,25.4375,25.6875
"4/30/2016, 10:28:55 PM",1462069735373,25.4375,26.5000,25.4375,25.6875
"4/30/2016, 10:28:56 PM",1462069736460,25.4375,26.5000,25.4375,25.6875
"4/30/2016, 10:28:57 PM",1462069737550,25.3750,26.5000,25.3750,25.6875
"4/30/2016, 10:28:57 PM",1462069737550,25.3750,26.5000,25.3750,25.6875
"4/30/2016, 10:28:58 PM",1462069738636,25.3750,26.5000,25.3750,25.6250
"4/30/2016, 10:28:59 PM",1462069739723,25.3750,26.5000,25.3750,25.6250
"4/30/2016, 10:29:00 PM",1462069740812,25.3750,26.4375,25.3750,25.6250
"4/30/2016, 10:29:01 PM",1462069741899,25.3750,26.4375,25.3750,25.6250
"4/30/2016, 10:29:02 PM",1462069742989,25.3750,26.4375,25.3750,25.6250
"4/30/2016, 10:29:04 PM",1462069744074,25.3750,26.4375,25.3750,25.6250
"4/30/2016, 10:29:05 PM",1462069745163,25.3750,26.3750,25.3125,25.5625
"4/30/2016, 10:29:06 PM",1462069746249,25.3750,26.3750,25.3125,25.5625
"4/30/2016, 10:29:07 PM",1462069747336,25.3750,26.3750,25.3125,25.5625
"4/30/2016, 10:29:08 PM",1462069748422,25.3125,26.3750,25.3125,25.5625
"4/30/2016, 10:29:09 PM",1462069749510,25.3125,26.3750,25.3125,25.5625
"4/30/2016, 10:29:10 PM",1462069750597,25.3125,26.3750,25.3125,25.5625
"4/30/2016, 10:29:11 PM",1462069751685,25.3125,26.3750,25.3125,25.5625
"4/30/2016, 10:29:11 PM",1462069751685,25.3125,26.3750,25.3125,25.5000
"4/30/2016, 10:29:12 PM",1462069752774,25.3125,26.3125,25.2500,25.5000
"4/30/2016, 10:29:13 PM",1462069753860,25.3125,26.3125,25.2500,25.5000
"4/30/2016, 10:29:14 PM",1462069754946,25.3125,26.3125,25.2500,25.5000
